,Nombre,Últ.,% Dif.,Máx.,Mín.,Volumen,Efectivo (miles €),Fecha,Hora
0,ACCIONA,"126,7000","-0,24","127,0000","125,5000",189.434,"24.022,44",25/06/2021,Cierre
1,ACERINOX,"9,9620","0,67","10,0300","9,9100",1.167.913,"11.654,33",25/06/2021,Cierre
2,ACS,"22,7900","0,57","23,0300","22,6800",1.123.610,"25.630,43",25/06/2021,Cierre
3,AENA,"148,0500","0,61","149,7000","144,6000",173.430,"25.607,62",25/06/2021,Cierre
4,ALMIRALL,"14,9900","0,67","14,9900","14,7900",324.733,"4.834,40",25/06/2021,Cierre
5,AMADEUS,"63,9400","-0,37","64,5200","63,5400",669.631,"42.871,17",25/06/2021,Cierre
6,ARCELORMIT.,"26,2050","2,68","26,5600","25,8200",726.460,"19.043,92",25/06/2021,Cierre
7,B.SANTANDER,"3,3555","1,13","3,3595","3,3040",29.038.150,"97.017,40",25/06/2021,Cierre
8,BA.SABADELL,"0,6012","0,67","0,6016","0,5908",14.686.153,"8.776,25",25/06/2021,Cierre
9,BANKINTER,"4,3530","0,55","4,3770","4,3180",1.181.525,"5.135,97",25/06/2021,Cierre
10,BBVA,"5,4310","1,89","5,4370","5,3290",15.899.536,"85.871,50",25/06/2021,Cierre
11,CAIXABANK,"2,6500","0,57","2,6580","2,6230",7.340.338,"19.422,94",25/06/2021,Cierre
12,CELLNEX,"54,8000","0,55","55,4000","54,3200",7.411.379,"405.592,94",25/06/2021,Cierre
13,CIE AUTOMOT.,"25,5800","1,35","25,6800","25,1200",310.105,"7.886,97",25/06/2021,Cierre
14,ENAGAS,"19,7200","0,05","19,8050","19,6200",509.023,"10.031,14",25/06/2021,Cierre
15,ENDESA,"22,4700","0,09","22,5400","22,2100",3.592.515,"80.089,16",25/06/2021,Cierre
16,FERROVIAL,"25,5900","0,87","25,7600","25,3600",1.652.685,"42.229,97",25/06/2021,Cierre
17,FLUIDRA,"34,9000","1,31","35,0500","33,7500",706.270,"24.199,47",25/06/2021,Cierre
18,GRIFOLS CL.A,"22,6600","1,30","22,7800","22,3100",461.160,"10.432,02",25/06/2021,Cierre
19,IAG,"2,1960","-2,27","2,2860","2,1760",20.286.720,"44.783,83",25/06/2021,Cierre
20,IBERDROLA,"10,3550","-1,10","10,4750","10,1950",16.120.959,"166.456,51",25/06/2021,Cierre
21,INDITEX,"30,7900","-0,23","30,9500","30,6100",1.499.386,"46.153,62",25/06/2021,Cierre
22,INDRA A,"7,7400","1,04","7,8100","7,6350",924.244,"7.144,12",25/06/2021,Cierre
23,INM.COLONIAL,"8,8150","-0,56","8,8900","8,8150",442.449,"3.904,19",25/06/2021,Cierre
24,MAPFRE,"1,7835","0,17","1,7890","1,7545",2.796.750,"4.978,12",25/06/2021,Cierre
25,MELIA HOTELS,"6,6820","-2,14","6,8800","6,6080",1.368.194,"9.194,82",25/06/2021,Cierre
26,MERLIN,"9,0160","-0,81","9,1540","8,9740",590.878,"5.330,46",25/06/2021,Cierre
27,NATURGY,"21,9600","-0,05","22,0500","21,8400",513.626,"11.277,34",25/06/2021,Cierre
28,PHARMA MAR,"78,5000","2,67","79,3200","76,1800",83.185,"6.505,99",25/06/2021,Cierre
29,R.E.C.,"16,4400","-0,18","16,5050","16,3300",806.278,"13.240,87",25/06/2021,Cierre
30,REPSOL,"11,0580","-0,36","11,1900","11,0220",5.937.378,"66.053,60",25/06/2021,Cierre
31,SIEMENS GAME,"27,3200","0,18","27,4900","26,8600",763.829,"20.857,53",25/06/2021,Cierre
32,SOLARIA,"15,3900","0,92","15,4950","14,9400",648.340,"9.894,91",25/06/2021,Cierre
33,TELEFONICA,"3,9300","0,00","3,9595","3,9205",7.537.549,"29.647,71",25/06/2021,Cierre
34,VISCOFAN,"59,6500","1,10","59,8000","58,8500",48.848,"2.903,43",25/06/2021,Cierre
