,Nombre,Mercado,Últ.,% Dif.,Máx.,Mín.,Volumen,Efectivo (miles €),Fecha,Hora
0,ACCIONA ENER,M.Continuo,-,-,-,-,-,-,-,Cierre
1,AUDAX RENOV.,M.Continuo,"1,9800","-0,20","2,0100","1,9520",350.973,"693,16",25/06/2021,Cierre
2,BRASKEM PR.A,Latibex,"9,5500","-1,55",-,-,-,-,25/06/2021,Cierre
3,CEMIG P.,Latibex,"2,1400","0,00",-,-,-,-,25/06/2021,Cierre
4,COPEL CERT.,Latibex,"5,1000","-0,97",-,-,-,-,25/06/2021,Cierre
5,COPEL ORDINA,Latibex,"0,9350","0,00",-,-,-,-,25/06/2021,Cierre
6,COPEL PR.B,Latibex,"1,0600","0,00",-,-,-,-,25/06/2021,Cierre
7,ECOENER,M.Continuo,"5,9900","2,92","6,0500","5,6800",47.356,"282,97",25/06/2021,Cierre
8,ELETROBRAS B,Latibex,"7,6000","-1,30",-,-,-,-,25/06/2021,Cierre
9,ELETROBRAS O,Latibex,"7,6000","-0,65",-,-,-,-,25/06/2021,Cierre
10,ENAGAS,M.Continuo,"19,7200","0,05","19,8050","19,6200",509.023,"10.031,14",25/06/2021,Cierre
11,ENDESA,M.Continuo,"22,4700","0,09","22,5400","22,2100",3.592.515,"80.089,16",25/06/2021,Cierre
12,GREENALIA,MAB - EE,"13,4000","0,75","13,4000","13,0500",3.116,"41,26",25/06/2021,Cierre
13,GRENERGY,M.Continuo,"29,0500","0,87","29,5000","28,1000",73.716,"2.114,26",25/06/2021,Cierre
14,HOLALUZ,MAB - EE,"14,0500","-0,35","14,1000","14,0000",4.166,"58,63",25/06/2021,Cierre
15,IBERDROLA,M.Continuo,"10,3550","-1,10","10,4750","10,1950",16.120.959,"166.456,51",25/06/2021,Cierre
16,NATURGY,M.Continuo,"21,9600","-0,05","22,0500","21,8400",513.626,"11.277,34",25/06/2021,Cierre
17,OPDENERGY,M.Continuo,-,-,-,-,-,-,-,Cierre
18,PETROBRAS O.,Latibex,"5,0300","0,40","5,1000","4,9800",11.480,"57,77",25/06/2021,Cierre
19,PETROBRAS P.,Latibex,"4,9400","0,41","4,9600","4,4600",13.120,"63,92",25/06/2021,Cierre
20,R.E.C.,M.Continuo,"16,4400","-0,18","16,5050","16,3300",806.278,"13.240,87",25/06/2021,Cierre
21,REPSOL,M.Continuo,"11,0580","-0,36","11,1900","11,0220",5.937.378,"66.053,60",25/06/2021,Cierre
22,SOLARIA,M.Continuo,"15,3900","0,92","15,4950","14,9400",648.340,"9.894,91",25/06/2021,Cierre
23,SOLARPACK,M.Continuo,"26,2000","-0,19","26,2500","26,2000",174.220,"4.564,61",25/06/2021,Cierre
24,SOLTEC,M.Continuo,"7,4800","1,42","7,4950","7,3300",90.835,"675,57",25/06/2021,Cierre
25,USIMINAS,Latibex,"3,2200","1,26",-,-,-,-,25/06/2021,Cierre
26,USIMINAS ORD,Latibex,"3,3000","1,23",-,-,-,-,25/06/2021,Cierre
